epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.817,0,11.5803,0,0,0,0,0,0,1.8073,0,0.000659574,0.000659574,0.000659574
2,448.859,0,0.6587,0,0,0,0,0,0,0.28891,0,0.00126059,0.00126059,0.00126059
